"Access BANK CAMEROON","Access BANK"
"Dentons Europe","Dentons"
"Fiber Group UA","Fiber Group"
"IA112 UKRAINE","IA112"
"Isatel Tajikistan","Isatel"
"OTT UKRAINE","OTT"
"RUS","LLC"
"STAR UKRAINE","STAR"
"Unilever Rus","Unilever"
"Whirl Software Ukraine","Whirl Software"
"Logicalis SA","Logicalis"
"Luna USA","Luna"
"Manor IT","Manor"
"Master IT","Master"
"Maxtel USA","Maxtel"
"Mediterranean Shipping Company (Hong Kong)","Mediterranean Shipping Company"
"Mediterranean Shipping Company Belgium","Mediterranean Shipping Company"
"MEGARED DE COLOMBIA","MEGARED"
"MEMC Korea","MEMC"
"Merck and","Merck"
"Mercury NZ","Mercury"
"Meridian Cable TV","Meridian Cable"
"Meridian IT","Meridian"
"MILLICOM CABLE COSTA RICA","MILLICOM CABLE"
"MILLICOM CABLE EL SALVADOR","MILLICOM CABLE"
"Ministry of Education Computer Center Taipei Taiwan","Ministry of Education Computer Center Taipei"
"Ministry of Education Malaysia","Ministry of Education"
"Ministry of Internal Affairs (Kosovo)","Ministry of Internal Affairs"
"Mirantis IT","Mirantis"
"Mobinet Bulgaria","Mobinet"
"MTEL Schweiz","MTEL"
"Multimedia BG","Multimedia"
"Multimedia Polska","Multimedia"
"Nagarro ES","Nagarro"
"Nanning Huifa Technology Co","Nanning Huifa Technology"
"Nas Broadband India","Nas Broadband"
"National Library of Australia","National Library"
"National Library of New Zealand","National Library"
"NCS AU","NCS"
"NCS Managed Services USA","NCS Managed Services"
"Nebius DC","Nebius"
"Nebius Israel","Nebius"
"Neoris Argentina","Neoris"
"Neoris de Mexico","Neoris"
"NEP AUSTRALIA","NEP"
"NEP Norway","NEP"
"Net & Com","Net &"
"Net Access Internet India","Net Access Internet"
"Net at Once Sweden","Net at Once"
"Net God Information Technology (Beijing)","Net God Information Technology"
"Net Iowa","Net"
"Net Rápida Brasil","Net Rápida"
"Net Service BG","Net Service"
"Net Telecom MD","Net Telecom"
"Net USA","Net"
"Netafraz Iranian","Netafraz"
"Netark Technologies India","Netark Technologies"
"NetCom BW","NetCom"
"NetEarth UK","NetEarth"
"NetForce Ukraine","NetForce"
"NetGo Telecomunicações do Brasil","NetGo Telecomunicações"
"Netiface America","Netiface"
"Netpoint de Venezuela","Netpoint"
"Netvision Internet India","Netvision Internet"
"Netwerkplek IT","Netwerkplek"
"Netwin Systems And Software India","Netwin Systems And Software"
"Network Edge NZ","Network Edge"
"Network Information Center México","Network Information Center"
"Network Kazakhstan","Network"
"Network Nebraska","Network"
"Network Research Belgium","Network Research"
"Network Virginia","Network"
"Networx Australia","Networx"
"New Com","New"
"New Era IT","New Era"
"New Georgia","New"
"New Liberty Hospital District of Clay County Missouri","New Liberty Hospital District of Clay County"
"New Systems AM","New Systems"
"New telco South Africa","New telco"
"Newcom Live (Fiji)","Newcom Live"
"NewPush Europe","NewPush"
"News bangladesh","News"
"NIC Chile","NIC"
"NOMIOS Poland","NOMIOS"
"O4IT Colombia","O4IT"
"O4IT USA","O4IT"
"ODATA COLOMBIA","ODATA"
"Office IT","Office"
"Office Of The Registrar General India","Office Of The Registrar General"
"Office Sverige","Office"
"Omega TV","Omega"
"ONE ALBANIA","ONE"
"One City IT","One City"
"One Crna Gora","One"
"One Hungary","One"
"One Internet America","One Internet"
"ONE NEVADA","ONE"
"One Solution IT","One Solution"
"Oneasia ( Shanghai)","Oneasia ("
"Onebim Vietnam","Onebim"
"ONENET HK","ONENET"
"ONESCHOOL AUSTRALIA","ONESCHOOL"
"ONEX SA","ONEX"
"OOO 24 chasa TV","OOO 24 chasa"
"OOO Alkor and","OOO Alkor"
"OOO CCCMOS GROUP RUS","OOO CCCMOS GROUP"
"OOO CQGI Rus","OOO CQGI"
"OOO NI","OOO"
"OOO Panasonic RUS","OOO Panasonic"
"OOO Telecom TZ","OOO Telecom"
"Optima Italia","Optima"
"Optimation New Zealand","Optimation"
"Orange County Florida","Orange County"
"Orange Garden Indonesia","Orange Garden"
"OTP Bank Albania","OTP Bank Nyrt."
"OTP Bank Nyrt. Hungary","OTP Bank"
"OTP Banka Srbija","OTP Banka"
"Perella Weinberg Partners GP","Perella Weinberg Partners"
"Phoenix American","Phoenix"
"Phoenix IT","Phoenix"
"PIT CHILE","PIT"
"PIT COLOMBIA","PIT"
"PIT HONDURAS","PIT"
"PIT PERU","PIT"
"Planet Internet Limited - HK","Planet Internet Limited"
"Planet Online Laos","Planet Online"
"Planet Technologies UG","Planet Technologies"
"Planet Wi","Planet"
"Porsche Inter Auto Slovakia","Porsche Inter Auto"
"Premier America","Premier"
"Premier oil Indonesia","Premier oil"
"Psychz Networks ZA","Psychz Networks"
"QuxLabs UG","QuxLabs"
"Realtel Communication India","Realtel Communication"
"Refinitiv US","Refinitiv Technology"
"Reserve Bank of Australia","Reserve Bank"
"Reserve Bank of India","Reserve Bank"
"Reserve Bank of New Zealand","Reserve Bank"
"Rocket NG","Rocket"
"Rocketnet Internet Namibia","Rocketnet Internet"
"Rumahweb Indonesia","Rumahweb"
"SAHEL TELECOM LIBERIA","SAHEL TELECOM"
"Samsung SDS Europe Ltd. German Branch Zweigniederlassung Deutschland","Samsung SDS Europe Ltd. German Branch Zweigniederlassung"
"Savanna Fibre (Tanzania)","Savanna Fibre"
"Scancom Vietnam","Scancom"
"Scania CV","Scania"
"SENCINET LATAM ARGENTINA","SENCINET LATAM"
"SENCINET LATAM BRASIL","SENCINET LATAM"
"SENCINET LATAM COLOMBIA","SENCINET LATAM"
"SENCINET LATAM PERU","SENCINET LATAM"
"ALSO Latvia","ALSO"
"BFA","SIA"
"BITE Latvija","BITE"
"DPD Latvija","DPD"
"EVOLUTION LATVIA","EVOLUTION"
"Orkla Latvija","Orkla"
"Vitol Terminal Latvia","Vitol Terminal"
"Worldline Latvia","Worldline"
"SINCH BR","SINCH"
"SINCH CLOUD COMMUNICATION SERVICES INDIA","SINCH CLOUD COMMUNICATION SERVICES"
"SITS Deutschland","SITS"
"Sky Commodities India","Sky Commodities"
"Sky Vision Ukraine","Sky Vision"
"Skyline Networks NZ","Skyline Networks"
"SkyNet de Colombia","SkyNet"
"Skyvision Guinee","Skyvision"
"SMART NET INDIA","SMART NET"
"Smartcom Bulgaria","Smartcom"
"Soka University of America","Soka University"
"SONIC HEALTHCARE USA","SONIC HEALTHCARE"
"Space Hellas","Space"
"Space Ro","Space"
"SpaceDump IT","SpaceDump"
"Spaceworld Communications India","Spaceworld Communications"
"Spectra Technologies India","Spectra Technologies"
"Spider Net (HK)","Spider Net"
"Star Co","Star"
"Star Digital MUDs TV","Star Digital MUDs"
"Telecel Liberia","Telecel"
"Telecel Zimbabwe","Telecel"
"Telecom Algeria","Telecom"
"Telecom Argentina","Telecom"
"Telecom Cambodia","Telecom"
"Telecom Cook Islands","Telecom"
"Telecom Development Company Afghanistan","Telecom Development Company"
"Telecom Italia San Marino","Telecom"
"Telecom Liechtenstein","Telecom"
"Telecom Malagasy","Telecom"
"Telecom Namibia","Telecom"
"Telecom North America","Telecom"
"Telecom Seychelles","Telecom"
"Telecom South America","Telecom South"
"Telecom Vanuatu","Telecom"
"Telecomunicaciones de America","Telecomunicaciones de"
"TELECOMUNICACIONES DE GUATEMALA","TELECOMUNICACIONES"
"TELECOMUNICACIONES DEL SUR","TELECOMUNICACIONES DEL"
"Teledata Ghana","Teledata"
"Teledata Mozambique","Teledata"
"Teledata UK","Teledata"
"Telefonica de Costa Rica TC","Telefonica de Costa Rica"
"Telefonica del Peru","Telefonica del"
"Telefonica del Sur","Telefonica del"
"Telefonica Moviles del Uruguay","Telefonica Moviles del"
"Telefónica Celular de Bolivia","Telefónica Celular"
"Telekomunikasi Indonesia International (Hong Kong)","Telekomunikasi Indonesia International"
"Telekomunikasi Indonesia","Telekomunikasi"
"Teleport Rus","Teleport"
"Telnet Indonesia","Telnet"
"The Bank of Canada","The Bank"
"The Board of Pensions of the Presbyterian Church (USA)","The Board of Pensions of the Presbyterian Church"
"The Catholic University of America","The Catholic University"
"The Central Bank of the Republic of Azerbaijan","The Central Bank of the"
"The City of Houston Missouri","The City of Houston"
"The Clearing Corporation Of India","The Clearing Corporation"
"The Cloud Networks Germany","The Cloud Networks"
"The Czech","The"
"The Diners Club del Ecuador","The Diners Club del"
"The Equitable Life Insurance Company of Canada","The Equitable Life Insurance Company"
"The Farmers Mutual Telephone Company of Stanton Iowa","The Farmers Mutual Telephone Company of Stanton"
"The Federal Guard Service of the Russian Federation","The Federal Guard Service of the"
"The Insurance Institute of Canada","The Insurance Institute"
"The International School of Kenya","The International School"
"The IT Guy","The IT"
"The Jewish Theological Seminary of America","The Jewish Theological Seminary"
"The Law Society of Upper Canada","The Law Society of Upper"
"The Ministry of Agriculture of the Czech Republic","The Ministry of Agriculture of the"
"The Municipal Communications Utility of the City of Cedar Falls Iowa","The Municipal Communications Utility of the City of Cedar Falls"
"The National Examinations Council of Tanzania","The National Examinations Council"
"The North Alliance Sverige","The North Alliance"
"The Open University of Tanzania","The Open University"
"The Prudential Insurance Company of America","The Prudential Insurance Company"
"The Salvation Army a Georgia","The Salvation Army a"
"The School Board of Alachua County Florida","The School Board of Alachua County"
"The School Board of Charlotte County FL","The School Board of Charlotte County"
"The School District of Pickens County South Carolina","The School District of Pickens County"
"The Standard Bank of South Africa","The Standard Bank"
"The state institution The Main Economic Office of the Administrative Affairs Office of the President of the Republic of Belarus","The state institution The Main Economic Office of the Administrative Affairs Office of the President of the"
"The University of Western Australia","The University of Western"
"The Washington","The"
"Tizeti Network Ghana","Tizeti Network"
"Top Net BG","Top Net"
"Total Web Solutions Australia","Total Web Solutions"
"Trilogy Dominicana","Trilogy"
"Triple IT","Triple"
"Tullow Bangladesh","Tullow"
"Tullow Ghana","Tullow"
"TV 2 Danmark","TV 2"
"UNICOM NEW ZEALAND","UNICOM"
"Union Bank Of India","Union Bank"
"UNITEL FRANCE","UNITEL"
"UNITEL STP","UNITEL"
"Universal Services India","Universal Services"
"Universal Services of America","Universal Services"
"University Medical Center of Southern Nevada","University Medical Center of Southern"
"University of Central Florida","University of Central"
"University of Ghana","University"
"University of Mary Washington","University of Mary"
"University of North Alabama","University of North"
"University of North Florida","University of North"
"University of North Texas","University of North"
"University of Northern Colorado","University of Northern"
"University of Northern Iowa","University of Northern"
"University Of Port Harcourt Nigeria","University Of Port Harcourt"
"University of South Alabama","University of South"
"University of Southern California","University of Southern"
"University of Southern Indiana","University of Southern"
"University of Southern Mississippi","University of Southern"
"University of Technology Jamaica","University of Technology"
"University of the Philippines","University"
"University of Warmia and Mazury in Olsztyn Poland","University of Warmia and Mazury in Olsztyn"
"University of West Florida","University of West"
"Vale Canada","Vale"
"Vale Internet e TV","Vale Internet e"
"VELOCIX SOLUTIONS USA","VELOCIX SOLUTIONS"
"Visa Information Technology Beijing","Visa Information Technology"
"Watch Tower Bible and Tract Society of Canada","Watch Tower Bible and Tract Society"
"Watch Tower Bible and Tract Society of the Philippines","Watch Tower Bible and Tract Society"
"Wave Bermuda","Wave"
"Web Werks India","Web Werks"
"Weserve Belgium","Weserve"
"WIA Tanzania","WIA"
"Wildcard UK","Wildcard"
"Wireless Communications Panama","Wireless Communications"
"Wireless Montenegro","Wireless"
"Wireless network and communications PE","Wireless network and communications"
"Wireless Prov de Acesso as Redes de Com","Wireless Prov de Acesso as Redes de"
"Wolters Kluwer Canadian","Wolters Kluwer"
"WPP AUNZ","WPP"
"ZGX US","ZGX"
"Zhuhai Xiyun Cloud Technology Co","Zhuhai Xiyun Cloud Technology"
